studentID,sex,fil1,eng1,math1,ap1,fil2,eng2,math2,ap2,fil3,eng3,math3,sci3,ap3,fil4,eng4,math4,sci4,ap4,fil5,eng5,math5,sci5,ap5,fil6,eng6,math6,sci6,ap6,proficiency,mps,age
102283180025,F,86.0,78.0,82.0,80.0,86,85,84,84,84,84,82,82,83,86,86,87,86,87,86,86,86,86,86,90,89,88,88,87,Low Proficient,39.0,13
102283180376,F,84.0,84.0,83.0,84.0,85,84,84,85,83,82,82,81,82,84,83,83,82,86,86,86,85,85,85,90,90,78,89,88,Low Proficient,39.0,13
102287180055,F,87.0,85.0,84.0,85.0,87,86,86,86,83,82,82,83,83,80,79,80,80,81,81,81,81,81,82,88,89,89,88,87,Low Proficient,39.0,12
102283180465,M,80.0,77.0,78.0,81.0,83,83,83,84,85,83,83,84,84,86,85,85,85,85,81,81,80,81,81,86,86,82,84,86,Low Proficient,39.0,12
102283180076,F,91.0,89.0,91.0,90.0,89,88,89,87,85,85,86,86,87,88,86,86,88,87,87,89,87,88,88,90,89,87,87,88,Low Proficient,39.0,13
102283180135,F,90.0,90.0,90.0,90.0,90,89,89,89,87,87,88,86,87,85,83,83,83,84,84,85,83,84,83,84,84,84,84,85,Low Proficient,39.0,13
106683180021,M,79.0,82.0,79.0,79.0,85,84,87,85,85,84,84,86,85,85,86,85,84,86,81,79,79,81,80,87,88,89,88,89,Nearly Proficient,62.5,12
132283180568,M,79.0,79.0,79.0,79.0,79,79,80,80,79,79,79,80,81,82,80,80,80,85,86,86,86,85,85,84,83,83,83,85,Nearly Proficient,62.5,13
102283180005,F,88.0,88.0,86.0,86.0,88,88,87,86,86,86,87,85,85,86,82,83,83,84,83,83,81,83,81,87,88,85,88,87,Nearly Proficient,62.5,12
102283180547,F,84.0,85.0,85.0,86.0,86,85,85,86,85,85,85,85,86,86,85,86,84,87,87,86,85,86,86,88,87,88,89,88,Nearly Proficient,62.5,13
102283180319,F,83.0,82.0,83.0,83.0,87,85,86,87,87,86,87,86,86,85,84,84,84,84,88,87,87,87,87,89,89,88,88,89,Nearly Proficient,62.5,13
102283180155,M,90.0,84.0,84.0,91.0,92,92,92,93,90,90,91,91,91,88,86,87,85,84,88,88,89,88,90,87,86,85,87,86,Nearly Proficient,62.5,12
102283180114,F,86.0,84.0,85.0,86.0,86,84,85,86,86,85,85,86,86,87,87,86,85,87,86,86,87,87,88,90,90,89,90,89,Nearly Proficient,62.5,12
102283180240,F,79.0,80.0,80.0,81.0,80,81,81,82,83,82,84,82,83,79,78,79,79,80,80,80,80,80,80,86,87,86,87,86,Nearly Proficient,62.5,12
102283180386,F,85.0,85.0,85.0,85.0,85,87,88,87,87,86,87,87,87,86,86,88,86,86,86,87,86,87,87,90,90,89,90,90,Nearly Proficient,62.5,12
108076170174,M,79.0,78.0,78.0,77.0,77,76,77,79,82,81,81,81,82,84,83,81,79,83,81,81,81,82,82,84,82,84,82,84,Nearly Proficient,62.5,13
102283180288,M,87.0,86.0,87.0,86.0,88,88,88,87,86,86,85,86,86,80,78,79,78,79,81,81,80,81,82,87,87,86,87,87,Nearly Proficient,62.5,13
402715180048,M,79.0,77.0,75.0,79.0,82,82,82,82,80,82,81,83,82,83,81,81,81,84,81,80,80,82,82,84,81,84,84,84,Nearly Proficient,62.5,13
102316480065,F,78.0,78.0,79.0,79.0,84,81,83,83,79,79,79,80,79,84,84,79,80,81,85,84,82,84,85,86,85,85,85,86,Nearly Proficient,62.5,13
102276180036,F,85.0,84.0,84.0,85.0,85,83,83,84,81,79,79,80,80,84,82,83,86,85,84,84,84,84,84,90,90,90,91,90,Nearly Proficient,62.5,12
102283170158,F,80.0,80.0,80.0,80.0,80,80,80,80,79,79,79,79,79,87,85,87,88,85,77,76,77,77,77,89,89,88,89,88,Nearly Proficient,62.5,14
102299160013,F,87.0,86.0,89.0,88.0,83,81,84,82,79,78,79,78,78,78,77,77,78,78,81,81,80,80,83,87,86,86,87,87,Nearly Proficient,62.5,15
102283180245,F,83.0,81.0,82.0,83.0,84,82,82,84,84,80,84,82,83,86,84,86,86,85,84,83,82,82,83,86,88,86,89,88,Nearly Proficient,62.5,13
102283180354,M,83.0,82.0,85.0,83.0,85,85,85,85,82,81,81,81,82,84,83,82,83,84,84,82,80,80,83,85,85,85,85,85,Nearly Proficient,62.5,13
102283180320,F,80.0,80.0,80.0,81.0,86,85,85,86,85,85,84,84,84,84,83,83,84,85,87,86,85,84,85,89,89,89,90,88,Nearly Proficient,62.5,13
102283180278,M,82.0,81.0,84.0,89.0,81,81,82,85,85,83,83,84,85,80,80,80,79,80,82,81,82,81,82,86,86,85,87,86,Nearly Proficient,62.5,12
102283180106,F,90.0,89.0,86.0,95.0,93,92,92,93,92,91,91,91,92,88,87,86,86,84,88,88,89,89,89,86,86,86,87,84,Nearly Proficient,62.5,13
400319180052,M,81.0,81.0,80.0,80.0,88,87,87,86,86,85,86,85,86,78,78,78,79,79,81,81,80,81,81,87,85,85,86,86,Nearly Proficient,62.5,12
102283180186,F,88.0,87.0,88.0,87.0,87,87,86,87,86,85,85,85,86,83,82,82,82,83,86,86,88,87,86,87,86,86,87,86,Nearly Proficient,62.5,12
412053180016,F,92.0,94.0,93.0,92.0,89,87,87,89,86,85,85,85,86,86,85,86,84,83,83,82,81,82,80,88,87,87,88,87,Nearly Proficient,62.5,12
102283180410,M,80.0,80.0,84.0,82.0,81,81,84,84,83,84,84,83,83,83,81,83,81,84,86,84,81,81,85,86,88,86,89,86,Nearly Proficient,62.5,12
102283180087,M,85.0,83.0,84.0,87.0,88,86,86,87,88,86,86,88,88,84,84,84,84,85,84,84,85,84,83,87,88,88,88,88,Nearly Proficient,62.5,12
102283180355,M,89.0,83.0,87.0,86.0,80,80,80,80,82,82,82,81,82,80,78,78,78,78,80,80,80,79,79,80,80,80,80,80,Nearly Proficient,62.5,13
102283170324,M,83.0,82.0,83.0,82.0,84,82,81,85,83,82,82,81,84,79,78,79,79,79,80,79,79,80,81,87,85,86,86,87,Nearly Proficient,62.5,14
102283180348,M,77.0,76.0,77.0,77.0,84,82,81,82,81,80,79,79,80,79,78,79,79,79,79,78,78,79,80,85,82,84,83,86,Nearly Proficient,62.5,12
102283170329,M,79.0,78.0,78.0,78.0,76,76,76,76,78,77,77,78,78,78,77,80,77,78,81,81,81,81,82,83,82,82,82,84,Nearly Proficient,62.5,13
102283180543,M,84.0,83.0,84.0,83.0,83,83,84,84,84,84,84,85,85,86,85,85,86,86,82,83,80,82,82,87,87,87,87,88,Nearly Proficient,62.5,12
102283180292,F,85.0,85.0,87.0,87.0,86,85,87,87,85,84,84,84,85,87,86,86,86,87,85,86,86,87,87,90,89,89,90,90,Nearly Proficient,62.5,12
102283180570,F,84.0,84.0,85.0,84.0,87,85,85,87,86,83,83,85,85,84,83,83,84,85,86,83,82,82,85,87,86,85,86,86,Nearly Proficient,62.5,13
102283180307,F,86.0,86.0,85.0,86.0,87,86,86,86,87,86,86,86,87,85,84,83,86,83,86,86,86,85,85,88,90,87,88,88,Nearly Proficient,62.5,12
102286180014,F,82.0,83.0,82.0,82.0,85,84,84,85,83,81,81,82,83,84,86,84,84,85,86,87,85,85,85,90,90,89,89,90,Nearly Proficient,62.5,12
102283180132,F,84.0,84.0,85.0,86.0,85,85,85,86,81,81,82,82,82,81,79,80,80,81,81,81,80,81,82,87,86,86,87,86,Nearly Proficient,62.5,13
102283180328,F,90.0,90.0,91.0,89.0,89,90,90,90,90,89,89,87,87,85,85,85,84,85,87,86,86,87,87,89,89,88,89,89,Nearly Proficient,62.5,13
102283180145,F,90.0,87.0,87.0,91.0,92,92,92,93,91,89,90,90,91,90,87,87,84,88,90,90,89,91,90,90,90,90,90,90,Nearly Proficient,62.5,12
102283180139,F,87.0,87.0,90.0,89.0,91,89,89,90,88,85,87,87,88,85,84,85,86,84,87,85,84,84,86,88,87,87,88,87,Nearly Proficient,62.5,13
101618180043,F,85.0,85.0,85.0,85.0,88,88,88,89,87,86,87,87,87,84,84,85,84,84,87,86,86,88,86,89,89,89,89,88,Nearly Proficient,62.5,12
102283180468,M,85.0,84.0,85.0,85.0,88,86,87,88,88,86,86,87,88,84,84,85,83,84,88,87,86,88,88,89,90,90,90,90,Nearly Proficient,62.5,13
102283180412,F,87.0,87.0,86.0,86.0,88,88,89,89,87,87,88,87,87,83,82,82,82,83,89,89,88,88,90,87,90,85,88,90,Proficient,82.0,13
102283180276,M,87.0,79.0,85.0,87.0,88,87,86,89,89,87,86,87,88,90,90,88,84,89,88,88,87,86,87,86,89,88,85,90,Proficient,82.0,13
400232180002,M,89.0,91.0,87.0,88.0,90,89,90,90,89,89,89,87,87,91,91,93,91,91,89,87,89,88,90,86,91,89,91,90,Proficient,82.0,13
106276180041,M,90.0,94.0,90.0,90.0,89,88,87,87,85,86,85,84,84,90,90,90,90,90,88,88,88,88,87,85,89,85,86,89,Proficient,82.0,12
102283180178,F,86.0,86.0,85.0,89.0,91,90,90,90,92,92,92,91,92,88,86,87,85,86,90,90,90,89,91,86,89,84,84,91,Proficient,82.0,13
102283180446,F,90.0,85.0,85.0,88.0,89,88,88,89,90,89,90,90,89,89,88,87,88,86,91,92,91,91,92,90,93,90,92,90,Proficient,82.0,13
102285180017,F,85.0,84.0,86.0,86.0,88,87,87,88,87,85,85,85,85,91,91,88,86,89,91,90,90,90,90,89,93,89,92,91,Proficient,82.0,13
102269180143,F,87.0,86.0,86.0,85.0,88,87,88,88,87,86,87,86,87,90,90,90,91,91,89,87,85,87,89,89,88,86,87,89,Proficient,82.0,12
102283180191,F,88.0,86.0,85.0,89.0,91,90,90,90,92,92,92,92,93,91,89,88,87,87,92,91,91,91,91,89,91,89,85,90,Proficient,82.0,13
102283180498,F,82.0,81.0,80.0,82.0,86,86,85,85,85,85,83,84,84,90,90,89,90,90,91,90,88,90,90,88,89,88,89,90,Proficient,82.0,12
400319180017,M,86.0,85.0,82.0,84.0,90,89,88,90,90,90,89,89,90,91,92,92,91,92,90,90,86,90,90,88,91,85,85,85,Proficient,82.0,13
108283180117,F,89.0,89.0,89.0,91.0,90,89,89,90,89,88,88,87,87,88,88,88,86,86,86,86,86,87,87,88,89,88,86,89,Proficient,82.0,12
102283180373,F,90.0,91.0,88.0,87.0,89,88,86,85,87,87,87,86,86,91,92,91,91,91,91,90,86,88,90,88,90,87,91,89,Proficient,82.0,12
102283180485,M,80.0,79.0,79.0,79.0,88,87,87,88,87,87,86,86,87,85,86,85,84,84,79,77,77,77,77,86,86,85,84,89,Proficient,82.0,13
102283180102,F,87.0,86.0,88.0,91.0,92,92,92,92,92,91,91,91,92,91,92,89,89,88,88,88,87,89,90,87,89,89,92,90,Proficient,82.0,12
102283180123,F,84.0,83.0,84.0,84.0,89,88,88,88,89,88,87,88,87,85,84,85,84,84,88,90,86,88,87,91,92,88,91,90,Proficient,82.0,12
102283180081,M,83.0,81.0,85.0,84.0,83,83,84,85,83,82,82,82,82,85,83,82,82,84,86,87,88,87,87,84,88,84,84,89,Proficient,82.0,13
102283180016,F,90.0,89.0,91.0,97.0,93,92,92,93,91,90,90,90,90,94,91,88,88,89,93,90,92,88,92,90,92,92,91,92,Proficient,82.0,13
102283180098,M,94.0,93.0,91.0,95.0,92,90,90,91,93,93,93,93,92,88,89,88,86,88,91,90,91,90,90,88,91,89,90,90,Proficient,82.0,13
102283180176,F,94.0,89.0,93.0,91.0,93,92,92,92,91,90,90,90,92,91,89,88,88,88,90,90,91,90,90,87,89,89,89,90,Proficient,82.0,13
102283180072,F,81.0,81.0,81.0,82.0,83,83,83,84,84,83,83,82,83,84,83,83,83,84,87,86,85,85,85,87,89,86,86,89,Proficient,82.0,12
102287180005,M,86.0,83.0,87.0,88.0,87,86,87,87,87,88,87,85,87,91,91,92,91,91,90,88,87,88,89,86,87,89,87,89,Proficient,82.0,13
414002180009,M,89.0,87.0,90.0,90.0,86,85,86,87,86,83,84,86,86,90,91,91,91,90,87,87,86,86,90,86,88,87,86,90,Proficient,82.0,12
102283180054,M,89.0,87.0,86.0,92.0,92,90,90,90,92,92,91,91,92,80,89,88,89,90,91,90,90,90,89,86,88,87,86,90,Proficient,82.0,13
425618180010,F,86.0,86.0,91.0,87.0,87,91,89,88,88,90,89,89,90,88,90,86,89,85,92,87,84,89,89,89,91,89,91,90,Proficient,82.0,13
102283180505,M,86.0,84.0,84.0,85.0,88,87,87,87,87,86,86,86,87,91,91,91,91,91,88,88,87,88,90,87,92,85,89,90,Proficient,82.0,13
414003180015,M,87.0,87.0,89.0,90.0,88,89,86,90,90,90,90,90,90,90,91,88,87,89,90,89,90,89,90,88,89,85,88,90,Proficient,82.0,12
102283180045,M,78.0,78.0,78.0,79.0,78,78,78,80,83,82,82,83,83,82,81,80,81,81,87,87,87,87,87,86,87,86,90,89,Proficient,82.0,12
102283180336,M,91.0,93.0,91.0,89.0,90,89,89,90,89,88,88,88,88,92,92,91,92,91,91,92,86,90,90,90,92,92,93,91,Proficient,82.0,13
102280180010,M,90.0,91.0,90.0,89.0,88,87,88,87,89,88,89,90,87,93,93,92,93,94,92,87,86,87,90,89,91,90,90,91,Proficient,82.0,14
102283180345,M,89.0,89.0,88.0,91.0,88,88,87,88,88,88,87,87,87,87,87,88,86,85,84,83,85,84,85,86,86,84,88,89,Proficient,82.0,13
102283180051,M,91.0,88.0,88.0,93.0,92,90,90,91,93,93,92,93,93,95,94,88,90,92,91,92,91,91,90,90,90,88,86,90,Proficient,82.0,13
102283180164,M,85.0,84.0,85.0,85.0,91,90,90,90,93,92,91,91,92,91,90,87,87,87,89,90,89,89,90,85,90,84,88,89,Proficient,82.0,13
102283180524,M,77.0,75.0,78.0,78.0,80,79,79,81,78,77,77,77,80,80,80,81,80,81,80,78,78,78,80,81,86,84,84,89,Proficient,82.0,13
102283180056,M,90.0,88.0,89.0,93.0,92,92,93,92,92,91,90,91,92,92,89,90,89,90,93,89,91,88,93,87,92,91,92,91,Proficient,82.0,13
414003180023,F,87.0,87.0,89.0,89.0,90,89,89,89,90,89,88,87,87,93,93,91,89,90,92,92,89,91,92,91,92,91,94,90,Proficient,82.0,12
102283180126,F,90.0,84.0,85.0,84.0,88,86,87,87,86,83,83,86,85,88,87,86,86,87,87,85,85,86,87,88,90,87,87,90,Proficient,82.0,12
102298180042,F,92.0,89.0,91.0,92.0,90,89,89,90,92,91,89,88,87,97,96,95,94,95,93,95,92,93,92,91,93,94,93,93,Proficient,82.0,13
102275180016,F,89.0,87.0,87.0,87.0,88,84,87,87,84,83,83,84,85,91,91,91,91,92,92,89,87,88,90,88,90,89,90,90,Proficient,82.0,13
102283180370,F,85.0,85.0,84.0,84.0,86,85,85,85,85,85,84,84,84,90,91,87,90,90,89,88,85,87,90,88,93,87,89,90,Proficient,82.0,12
414002180005,F,87.0,87.0,86.0,91.0,91,92,90,93,90,89,89,89,89,86,86,88,86,84,88,89,89,89,89,88,91,88,86,90,Proficient,82.0,12
102283180411,F,90.0,90.0,90.0,90.0,91,89,91,90,87,87,88,87,87,91,92,91,92,91,89,89,90,89,93,89,92,89,86,90,Proficient,82.0,13
102283180175,F,87.0,82.0,85.0,84.0,89,88,89,89,89,87,88,89,89,88,87,87,86,86,88,88,89,91,89,87,90,87,86,89,Proficient,82.0,13
414012180002,F,82.0,84.0,81.0,82.0,86,86,84,84,80,80,79,79,81,90,90,91,91,90,89,88,86,87,90,88,91,87,89,90,Proficient,82.0,12
102283180392,F,86.0,85.0,85.0,86.0,88,89,88,89,87,86,87,87,87,86,86,85,85,86,85,85,85,84,86,89,91,87,86,89,Proficient,82.0,12
