studentID,School,age,sex,mother tongue,BMI/nutrional status,Grade 1 Final ratings in Math,Grade 1 Final ratings in English,Grade 1 Final ratings in Filipino,Grade 1 Final ratings in Araling Panlipunan,Grade 2 Final ratings in Math,Grade 2 Final ratings in English,Grade 2 Final ratings in Filipino,Grade 2 Final ratings in Araling Panlipunan,Grade 3 Final ratings in Math,Grade 3 Final ratings in English,Grade 3 Final ratings in Science,Grade 3 Final ratings in Filipino,Grade 3 Final ratings in Araling Panlipunan,Grade 4 Final ratings in Math,Grade 4 Final ratings in English,Grade 4 Final ratings in Science,Grade 4 Final ratings in Filipino,Grade 4 Final ratings in Araling Panlipunan,Grade 5 Final ratings in Math,Grade 5 Final ratings in English,Grade 5 Final ratings in Science,Grade 5 Final ratings in Filipino,Grade 5 Final ratings in Araling Panlipunan,Grade 6 Final ratings in Math,Grade 6 Final ratings in English,Grade 6 Final ratings in Science,Grade 6 Final ratings in Filipino,Grade 6 Final ratings in Araling Panlipunan,School MPS
S0034,Don Amadeo Perez Sr. Memorial Elementary CS-East,8,F,Ilocano,Obese,86,86,85,93,89,95,86,75,86,94,97,99,89,95,95,90,91,83,99,78,83,86,75,90,82,99,76,79,75.71
S0035,Don Amadeo Perez Sr. Memorial Elementary CS-East,7,M,Filipino,Severely Wasted,86,75,90,81,90,91,89,86,75,92,90,88,100,94,96,78,94,78,84,79,95,84,83,86,89,96,77,96,75.71
S0036,Don Amadeo Perez Sr. Memorial Elementary CS-East,12,M,Tagalog,Wasted,97,75,79,77,96,75,77,92,77,95,99,88,97,99,95,97,78,80,93,83,83,76,93,88,77,92,91,88,75.71
S0037,Don Amadeo Perez Sr. Memorial Elementary CS-East,12,F,Ilocano,Severely Wasted,75,96,95,86,93,97,77,90,76,100,99,96,99,86,90,93,97,99,82,95,82,80,87,82,92,86,90,89,75.71
S0038,Urdaneta I Central School,12,M,Filipino,Wasted,96,98,75,78,93,91,86,90,97,85,97,94,90,98,78,93,87,83,89,81,79,96,85,89,89,82,81,79,66.82
S0039,Don Amadeo Perez Sr. Memorial Elementary CS-East,12,M,Ilocano,Wasted,78,86,83,94,93,78,97,76,77,97,83,92,98,76,95,78,89,78,82,81,84,97,84,84,86,77,87,99,75.71
S0040,Don Amadeo Perez Sr. Memorial Elementary CS-East,6,F,Tagalog,Wasted,78,96,99,100,91,86,100,94,96,79,75,91,100,97,88,86,81,83,80,92,94,90,97,82,100,98,83,95,75.71
S0041,Don Amadeo Perez Sr. Memorial Elementary CS-East,10,M,Ilocano,Normal,86,94,87,99,97,83,83,88,93,86,93,99,92,93,100,92,77,75,77,84,76,88,84,92,89,98,85,82,75.71
S0042,Don Amadeo Perez Sr. Memorial Elementary CS-East,11,M,Tagalog,Normal,90,80,80,92,96,87,92,88,81,81,83,82,79,75,82,89,96,77,82,90,92,94,90,100,80,91,100,79,75.71
S0043,Urdaneta I Central School,8,F,Ilocano,Severely Wasted,80,78,88,78,95,77,99,95,85,97,91,97,83,92,91,93,89,95,75,81,100,92,85,78,82,98,93,85,66.82
S0044,Don Alipio Fernandes Sr. IS,9,M,Tagalog,Overweight,75,97,80,99,89,88,86,89,84,75,77,95,99,91,98,81,77,96,97,99,100,77,100,88,97,80,95,86,73.08
S0045,Don Alipio Fernandes Sr. IS,8,F,Ilocano,Overweight,75,97,78,81,79,99,80,88,76,76,78,83,82,82,80,79,77,91,100,97,80,84,86,99,75,86,98,99,73.08
S0046,Don Alipio Fernandes Sr. IS,10,F,Tagalog,Overweight,95,85,83,95,84,99,91,82,90,93,77,90,78,81,89,83,77,76,85,85,86,99,96,95,85,92,100,97,73.08
S0047,Don Alipio Fernandes Sr. IS,8,M,Filipino,Wasted,93,82,85,89,95,95,92,91,90,89,76,93,97,76,82,89,99,91,77,83,92,90,92,86,88,86,85,77,73.08
S0048,Urdaneta I Central School,11,F,Filipino,Wasted,100,79,100,76,81,77,95,76,78,80,86,88,79,96,84,87,86,78,75,88,77,98,97,80,91,84,81,75,66.82
S0049,Urdaneta I Central School,7,M,Filipino,Overweight,75,100,89,96,99,99,83,93,94,83,85,92,87,90,93,77,100,79,98,77,77,80,75,90,99,87,86,79,66.82
S0050,Urdaneta I Central School,12,F,Ilocano,Wasted,86,93,94,86,85,82,86,79,100,80,89,87,76,95,79,86,88,100,85,75,93,85,84,98,98,82,92,78,66.82
S0051,Don Amadeo Perez Sr. Memorial Elementary CS-East,10,F,Filipino,Overweight,89,87,96,87,89,88,87,90,86,76,79,100,78,91,83,81,80,80,93,90,86,86,86,88,75,95,98,98,75.71
S0052,Don Amadeo Perez Sr. Memorial Elementary CS-East,9,F,Tagalog,Normal,90,79,92,100,95,100,90,86,80,86,83,83,84,90,100,81,94,82,81,84,96,78,98,95,98,92,92,92,75.71
S0053,Don Alipio Fernandes Sr. IS,8,F,Filipino,Severely Wasted,84,84,93,95,79,88,93,88,96,75,95,99,100,94,89,93,90,84,89,75,89,89,81,87,84,82,80,82,73.08
S0054,Don Amadeo Perez Sr. Memorial Elementary CS-East,7,M,Ilocano,Obese,77,96,97,75,90,92,94,79,76,79,88,86,82,98,90,93,75,83,90,92,75,76,77,75,94,82,96,94,75.71
S0055,Don Amadeo Perez Sr. Memorial Elementary CS-East,6,M,Ilocano,Wasted,87,81,79,88,100,96,81,89,89,83,75,85,100,97,81,96,92,79,84,99,95,89,93,77,96,75,80,99,75.71
S0056,Don Alipio Fernandes Sr. IS,11,M,Ilocano,Severely Wasted,100,97,76,84,78,97,90,79,97,76,95,89,89,82,85,99,87,87,100,79,92,79,99,96,96,81,92,92,73.08
S0057,Urdaneta I Central School,8,F,Tagalog,Wasted,91,98,83,89,79,97,76,77,78,77,100,84,99,89,93,78,84,75,100,78,82,90,97,98,86,84,96,86,66.82
S0058,Urdaneta I Central School,10,M,Ilocano,Overweight,95,85,84,97,98,93,77,84,91,84,88,80,79,81,77,79,77,75,77,77,85,79,91,84,99,96,89,89,66.82
S0059,Don Alipio Fernandes Sr. IS,8,F,Ilocano,Wasted,96,87,99,86,79,94,100,97,97,93,93,96,94,81,86,76,92,98,94,89,86,79,92,80,92,83,84,90,73.08
S0060,Urdaneta I Central School,8,M,Filipino,Severely Wasted,89,99,90,98,78,82,95,95,91,85,77,90,77,88,90,87,82,99,85,90,89,83,81,75,81,94,86,84,66.82
S0061,Don Alipio Fernandes Sr. IS,9,M,Ilocano,Normal,84,89,90,100,96,94,98,83,79,98,98,83,96,83,88,90,87,92,95,87,79,78,99,92,85,92,92,100,73.08
S0062,Don Amadeo Perez Sr. Memorial Elementary CS-East,6,M,Ilocano,Normal,81,77,96,94,84,80,86,76,75,83,99,93,93,87,92,75,78,91,95,100,76,93,79,99,79,91,83,76,75.71
S0063,Don Alipio Fernandes Sr. IS,10,F,Filipino,Overweight,79,99,95,89,77,79,75,100,75,86,99,86,79,89,93,93,80,79,84,97,76,98,78,81,80,91,100,81,73.08
S0064,Don Amadeo Perez Sr. Memorial Elementary CS-East,6,F,Filipino,Obese,87,85,100,75,93,90,78,86,86,92,76,89,89,94,100,77,95,86,87,98,87,93,86,89,81,98,96,86,75.71
S0065,Don Alipio Fernandes Sr. IS,7,F,Ilocano,Normal,88,84,89,86,76,78,77,83,85,94,83,99,79,82,91,80,83,90,90,100,100,83,99,83,75,80,91,75,73.08
S0066,Don Amadeo Perez Sr. Memorial Elementary CS-East,11,M,Filipino,Overweight,95,95,89,94,85,95,87,94,82,99,89,83,82,82,96,88,100,94,89,85,87,88,91,95,83,96,78,92,75.71
S0067,Urdaneta I Central School,8,F,Tagalog,Wasted,86,86,85,98,100,90,75,94,84,86,80,92,88,88,99,79,83,88,96,88,82,88,86,98,96,93,100,83,66.82
S0068,Urdaneta I Central School,12,M,Ilocano,Normal,91,78,83,94,78,77,96,97,81,88,75,91,100,94,93,96,76,83,81,87,80,96,99,76,88,81,78,85,66.82
S0069,Don Amadeo Perez Sr. Memorial Elementary CS-East,7,M,Filipino,Wasted,82,92,91,82,97,92,84,81,79,94,91,94,88,79,97,82,96,92,91,87,100,77,90,76,89,88,95,86,75.71
S0070,Don Alipio Fernandes Sr. IS,6,F,Filipino,Wasted,79,90,94,85,96,76,95,80,83,98,75,76,75,83,98,83,83,79,95,95,81,87,99,80,100,80,90,89,73.08
S0071,Urdaneta I Central School,12,F,Ilocano,Overweight,76,98,84,82,87,84,87,97,75,81,99,76,93,87,84,99,85,90,100,85,99,81,100,93,89,86,84,77,66.82
S0072,Urdaneta I Central School,11,F,Tagalog,Severely Wasted,89,95,76,75,85,90,85,86,77,85,97,81,86,76,100,78,99,89,82,92,95,95,84,76,78,96,99,97,66.82
S0073,Urdaneta I Central School,10,M,Tagalog,Wasted,77,86,92,98,78,100,79,81,77,94,97,81,83,99,99,91,100,88,98,83,99,84,100,82,94,94,88,75,66.82
S0074,Don Alipio Fernandes Sr. IS,6,M,Tagalog,Overweight,100,91,97,100,92,90,93,82,94,88,83,79,77,79,78,89,76,88,83,95,95,78,98,80,82,97,77,97,73.08
S0075,Don Alipio Fernandes Sr. IS,8,F,Tagalog,Wasted,75,84,83,90,80,89,96,75,80,79,96,91,76,97,100,93,95,93,92,100,85,81,100,97,97,96,98,80,73.08
S0076,Don Alipio Fernandes Sr. IS,11,M,Filipino,Overweight,99,97,84,78,94,86,87,92,84,93,76,90,92,81,84,82,95,83,95,81,89,98,93,91,91,90,82,97,73.08
S0077,Urdaneta I Central School,8,M,Ilocano,Obese,79,94,84,92,81,80,89,85,88,78,98,94,96,88,89,75,79,80,75,93,84,83,99,88,100,81,100,77,66.82
S0078,Don Alipio Fernandes Sr. IS,9,M,Filipino,Obese,99,89,76,77,93,85,78,85,90,80,91,76,84,77,96,96,85,83,81,86,75,98,98,85,90,89,77,87,73.08
S0079,Urdaneta I Central School,6,M,Tagalog,Severely Wasted,88,84,98,77,77,79,85,97,92,83,75,85,75,93,79,91,89,81,87,94,76,97,82,80,97,86,75,91,66.82
S0080,Don Amadeo Perez Sr. Memorial Elementary CS-East,12,F,Filipino,Overweight,95,75,99,96,99,80,86,87,87,96,81,96,97,89,95,80,87,84,93,86,78,82,91,79,92,89,80,92,75.71
S0081,Urdaneta I Central School,8,F,Ilocano,Overweight,78,84,81,99,85,85,77,94,81,91,88,77,92,96,84,89,75,91,85,77,99,83,87,78,76,92,80,83,66.82
S0082,Urdaneta I Central School,7,M,Tagalog,Wasted,93,94,90,92,90,82,79,97,91,97,83,98,92,89,100,82,80,89,88,90,78,92,85,89,93,97,88,89,66.82
S0083,Don Alipio Fernandes Sr. IS,12,M,Ilocano,Overweight,89,92,90,85,86,77,91,81,90,80,100,78,85,84,92,91,97,99,93,86,96,97,93,93,83,77,80,78,73.08
S0084,Don Alipio Fernandes Sr. IS,11,M,Ilocano,Severely Wasted,92,89,96,76,98,87,83,80,78,96,92,96,77,94,99,89,81,97,88,90,76,96,98,76,99,93,94,86,73.08
S0085,Urdaneta I Central School,12,F,Tagalog,Severely Wasted,79,88,80,95,82,86,91,85,75,88,86,75,83,86,82,85,90,77,79,82,94,87,100,94,92,82,88,81,66.82
S0086,Don Alipio Fernandes Sr. IS,7,F,Filipino,Obese,90,84,95,100,92,81,94,88,86,81,89,94,89,76,92,79,79,81,95,85,93,77,86,83,90,87,75,79,73.08
S0087,Don Amadeo Perez Sr. Memorial Elementary CS-East,12,M,Filipino,Overweight,82,82,80,86,100,76,76,100,87,92,92,90,99,99,81,86,100,83,76,92,88,98,85,100,81,90,100,92,75.71
S0088,Urdaneta I Central School,6,F,Ilocano,Wasted,93,89,78,86,100,81,97,92,95,82,87,82,93,93,94,85,86,91,77,93,76,77,100,92,88,80,99,95,66.82
S0089,Don Alipio Fernandes Sr. IS,6,F,Tagalog,Normal,93,96,96,93,85,100,98,87,82,77,79,81,81,99,83,81,93,95,92,80,100,76,79,84,85,98,93,85,73.08
S0090,Don Alipio Fernandes Sr. IS,12,M,Tagalog,Wasted,80,82,86,91,100,98,75,85,91,93,80,91,95,79,86,98,76,99,88,98,79,99,89,80,99,75,78,93,73.08
S0091,Urdaneta I Central School,8,F,Tagalog,Overweight,94,77,76,91,91,82,93,78,83,99,75,90,94,86,91,85,99,75,91,76,92,91,79,76,76,99,96,83,66.82
S0092,Don Alipio Fernandes Sr. IS,7,F,Ilocano,Wasted,86,96,85,81,77,81,87,86,100,92,75,96,97,86,81,84,91,88,87,94,84,83,82,97,82,87,87,88,73.08
S0093,Don Alipio Fernandes Sr. IS,12,M,Tagalog,Overweight,95,100,96,93,83,87,89,90,91,90,96,77,95,82,98,99,75,77,77,97,84,91,83,97,78,97,85,91,73.08
S0094,Don Alipio Fernandes Sr. IS,8,M,Ilocano,Overweight,93,88,99,91,76,78,84,96,94,75,79,98,81,99,83,76,83,85,77,79,83,81,97,90,81,96,78,90,73.08
S0095,Urdaneta I Central School,10,M,Ilocano,Severely Wasted,91,93,87,97,82,81,78,87,79,87,94,90,75,83,99,89,100,75,77,82,90,83,93,95,78,80,84,81,66.82
S0096,Urdaneta I Central School,8,M,Filipino,Normal,80,94,91,80,79,79,92,91,85,98,97,82,85,95,83,93,81,79,83,93,94,76,99,86,87,91,84,87,66.82
S0097,Don Amadeo Perez Sr. Memorial Elementary CS-East,12,M,Ilocano,Overweight,98,99,76,97,78,91,98,83,81,94,85,94,97,79,95,91,89,89,80,94,93,79,83,94,94,95,78,89,75.71
S0098,Urdaneta I Central School,8,F,Tagalog,Severely Wasted,93,78,89,89,87,92,95,97,87,79,96,99,75,92,77,84,95,87,92,81,94,80,89,94,83,75,97,100,66.82
S0099,Don Amadeo Perez Sr. Memorial Elementary CS-East,12,M,Ilocano,Overweight,80,98,97,77,91,77,85,90,79,83,98,85,84,89,80,92,83,85,75,87,78,87,92,84,76,79,95,76,75.71
S0100,Don Alipio Fernandes Sr. IS,7,F,Filipino,Wasted,89,91,89,80,96,93,99,82,81,90,91,85,78,96,86,86,96,96,86,97,84,86,94,80,100,89,92,90,73.08
S0101,Urdaneta I Central School,6,M,Ilocano,Normal,83,83,80,99,93,84,92,89,77,87,87,84,86,78,78,85,76,89,95,78,91,88,79,78,79,100,78,92,66.82
S0102,Don Alipio Fernandes Sr. IS,12,M,Ilocano,Normal,80,99,82,91,81,90,87,91,86,78,84,99,91,99,77,98,95,92,78,84,84,78,98,100,99,75,100,84,73.08
S0103,Urdaneta I Central School,9,M,Tagalog,Severely Wasted,89,86,90,92,89,89,76,79,76,83,91,89,75,90,100,75,79,84,92,78,87,82,96,77,87,92,88,96,66.82
S0104,Don Alipio Fernandes Sr. IS,12,M,Filipino,Obese,83,100,75,98,96,95,84,79,77,98,99,100,90,96,75,93,81,88,83,82,96,84,79,97,79,83,89,82,73.08
S0105,Urdaneta I Central School,11,F,Tagalog,Overweight,84,78,81,95,93,75,84,75,76,99,94,75,90,86,85,83,91,94,95,75,92,75,83,82,77,86,83,91,66.82
S0106,Don Amadeo Perez Sr. Memorial Elementary CS-East,9,M,Tagalog,Obese,99,83,91,95,84,100,95,97,97,99,79,99,85,82,87,98,94,87,78,92,83,83,99,77,92,94,76,78,75.71
S0107,Don Alipio Fernandes Sr. IS,6,F,Tagalog,Wasted,78,91,82,98,100,88,78,80,98,97,80,80,94,78,89,98,90,82,88,88,85,76,76,82,93,83,87,81,73.08
S0108,Don Amadeo Perez Sr. Memorial Elementary CS-East,6,M,Tagalog,Severely Wasted,85,98,84,100,76,87,96,94,95,89,87,97,79,82,88,96,78,75,79,97,84,79,89,85,86,99,86,78,75.71
S0109,Don Alipio Fernandes Sr. IS,11,F,Ilocano,Normal,81,92,91,77,93,96,83,88,85,90,84,83,85,98,94,84,99,93,83,86,93,99,82,75,89,83,95,82,73.08
S0110,Urdaneta I Central School,6,F,Tagalog,Normal,98,88,80,79,88,92,86,81,75,75,94,91,90,78,93,100,95,76,75,89,82,86,78,87,88,78,86,89,66.82
S0111,Don Amadeo Perez Sr. Memorial Elementary CS-East,12,F,Filipino,Obese,76,95,83,79,92,76,89,78,83,79,97,91,86,98,87,77,84,83,90,98,78,94,77,79,82,91,98,76,75.71
S0112,Don Alipio Fernandes Sr. IS,11,M,Ilocano,Normal,84,87,86,77,80,87,88,77,83,87,81,96,97,84,88,96,97,100,93,94,86,89,100,84,75,80,100,90,73.08
S0113,Don Amadeo Perez Sr. Memorial Elementary CS-East,7,M,Tagalog,Obese,85,90,78,83,96,76,77,94,84,77,94,82,75,98,93,83,85,97,96,96,94,87,88,82,92,93,80,79,75.71
S0114,Don Amadeo Perez Sr. Memorial Elementary CS-East,8,F,Ilocano,Obese,88,94,76,83,84,92,98,86,90,96,96,81,75,76,84,100,91,76,85,86,85,88,97,99,89,96,90,87,75.71
S0115,Don Alipio Fernandes Sr. IS,8,M,Tagalog,Obese,99,95,76,79,100,95,79,99,81,95,79,93,100,96,92,84,88,85,97,94,91,95,95,91,97,100,85,77,73.08
S0116,Don Amadeo Perez Sr. Memorial Elementary CS-East,10,F,Ilocano,Overweight,90,100,93,98,88,90,96,97,92,75,82,75,93,100,81,88,87,90,90,84,93,75,81,93,89,100,76,78,75.71
S0117,Don Amadeo Perez Sr. Memorial Elementary CS-East,11,F,Ilocano,Severely Wasted,79,96,94,98,78,91,100,91,95,83,92,75,81,76,87,88,78,80,94,81,85,94,98,87,77,77,80,82,75.71
S0118,Don Alipio Fernandes Sr. IS,10,M,Ilocano,Obese,77,85,100,99,78,90,98,100,92,77,89,88,86,78,75,93,85,75,89,84,88,83,97,77,87,81,87,83,73.08
S0119,Urdaneta I Central School,11,M,Tagalog,Normal,91,98,91,79,95,96,87,87,94,98,91,99,82,92,91,80,79,79,96,93,99,87,75,77,77,78,83,89,66.82
S0120,Don Alipio Fernandes Sr. IS,9,M,Filipino,Overweight,100,92,84,89,81,88,84,99,90,99,100,85,76,89,98,95,92,88,77,84,79,80,99,93,85,94,82,82,73.08
S0121,Urdaneta I Central School,12,M,Ilocano,Obese,92,98,90,82,98,88,96,92,86,97,91,84,98,90,89,98,97,76,81,97,92,90,88,86,88,93,77,82,66.82
S0122,Don Amadeo Perez Sr. Memorial Elementary CS-East,6,M,Tagalog,Wasted,94,76,86,76,88,85,100,94,92,79,90,96,98,94,97,82,75,80,79,98,97,86,98,94,100,85,75,97,75.71
S0123,Urdaneta I Central School,6,M,Tagalog,Obese,84,76,78,83,87,83,94,94,95,82,100,75,86,100,90,88,79,85,93,83,84,79,76,87,85,79,92,93,66.82
S0124,Urdaneta I Central School,9,M,Tagalog,Obese,85,96,88,95,99,100,88,84,87,81,89,95,89,98,79,99,97,93,80,77,96,93,96,98,98,100,100,75,66.82
S0125,Don Amadeo Perez Sr. Memorial Elementary CS-East,7,F,Filipino,Overweight,87,75,85,96,100,99,97,84,85,99,87,81,93,93,93,83,76,87,97,95,94,88,77,83,98,85,78,96,75.71
S0126,Don Alipio Fernandes Sr. IS,6,M,Tagalog,Normal,92,84,96,92,100,78,91,92,99,87,83,88,80,100,81,75,85,75,89,75,87,93,81,100,96,84,100,97,73.08
S0127,Urdaneta I Central School,7,F,Filipino,Severely Wasted,95,80,75,90,94,75,93,94,95,87,79,85,91,86,97,81,97,81,93,86,80,85,84,86,98,100,98,99,66.82
S0128,Urdaneta I Central School,12,F,Ilocano,Obese,82,95,98,98,92,75,75,75,79,75,86,90,76,89,84,90,75,91,85,82,98,85,98,86,97,82,95,83,66.82
S0129,Don Alipio Fernandes Sr. IS,12,M,Ilocano,Overweight,94,76,85,99,84,92,83,99,100,97,88,79,94,80,88,81,91,98,78,99,88,94,81,100,96,92,84,94,73.08
S0130,Don Alipio Fernandes Sr. IS,7,M,Filipino,Overweight,87,100,95,100,100,98,95,98,88,78,95,99,92,93,91,77,75,88,81,98,83,92,95,97,89,93,80,96,73.08
S0131,Urdaneta I Central School,8,F,Tagalog,Wasted,92,89,96,83,80,81,94,97,99,75,97,97,81,99,97,77,100,78,97,82,95,98,80,90,75,75,89,79,66.82
S0132,Don Amadeo Perez Sr. Memorial Elementary CS-East,10,M,Filipino,Obese,89,88,88,93,97,89,76,90,86,99,75,76,84,82,77,89,84,99,99,83,79,87,97,93,95,89,98,88,75.71
S0133,Don Amadeo Perez Sr. Memorial Elementary CS-East,8,F,Filipino,Normal,99,83,89,85,81,77,79,91,92,79,75,78,96,94,79,93,88,80,75,76,92,98,92,75,76,86,80,96,75.71
